step,time,drone_0_phase,drone_0_is_firing,drone_0_coupling,drone_0_pos_x,drone_0_pos_y,drone_1_phase,drone_1_is_firing,drone_1_coupling,drone_1_pos_x,drone_1_pos_y,drone_2_phase,drone_2_is_firing,drone_2_coupling,drone_2_pos_x,drone_2_pos_y
142,1.42,6.216796,0,-0.030153,4.3888,8.586,5.981139,0,0.050692,0.9418,9.7562,0.050364,0,-0.020539,7.8606,1.2811
143,1.43,6.226497,0,-0.029876,4.3888,8.586,5.992143,0,0.05048,0.9418,9.7562,0.061158,0,-0.020603,7.8606,1.2811
144,1.44,6.236201,0,-0.0296,4.3888,8.586,6.003146,0,0.050268,0.9418,9.7562,0.071951,0,-0.020668,7.8606,1.2811
145,1.45,6.245908,0,-0.029325,4.3888,8.586,6.014147,0,0.050057,0.9418,9.7562,0.082744,0,-0.020732,7.8606,1.2811
146,1.46,6.255617,0,-0.029051,4.3888,8.586,6.025145,0,0.049847,0.9418,9.7562,0.093536,0,-0.020796,7.8606,1.2811
147,1.47,6.265329,0,-0.028778,4.3888,8.586,6.036142,0,0.049638,0.9418,9.7562,0.104327,0,-0.02086,7.8606,1.2811
148,1.48,6.275044,0,-0.028506,4.3888,8.586,6.047136,0,0.04943,0.9418,9.7562,0.115118,0,-0.020923,7.8606,1.2811
149,1.49,0.001577,1,-0.028235,4.3888,8.586,6.058128,0,0.049222,0.9418,9.7562,0.125908,0,-0.020987,7.8606,1.2811
150,1.5,0.011297,0,-0.027965,4.3888,8.586,6.069118,0,0.049015,0.9418,9.7562,0.136698,0,-0.02105,7.8606,1.2811
151,1.51,0.02102,0,-0.027696,4.3888,8.586,6.080106,0,0.048809,0.9418,9.7562,0.147487,0,-0.021113,7.8606,1.2811
152,1.52,0.030746,0,-0.027427,4.3888,8.586,6.091092,0,0.048603,0.9418,9.7562,0.158275,0,-0.021176,7.8606,1.2811
153,1.53,0.040474,0,-0.02716,4.3888,8.586,6.102076,0,0.048399,0.9418,9.7562,0.169062,0,-0.021239,7.8606,1.2811
154,1.54,0.050205,0,-0.026893,4.3888,8.586,6.113058,0,0.048195,0.9418,9.7562,0.179849,0,-0.021302,7.8606,1.2811
155,1.55,0.059939,0,-0.026627,4.3888,8.586,6.124038,0,0.047991,0.9418,9.7562,0.190636,0,-0.021364,7.8606,1.2811
156,1.56,0.069675,0,-0.026363,4.3888,8.586,6.135016,0,0.047789,0.9418,9.7562,0.201422,0,-0.021426,7.8606,1.2811
157,1.57,0.079414,0,-0.026099,4.3888,8.586,6.145992,0,0.047587,0.9418,9.7562,0.212207,0,-0.021488,7.8606,1.2811
158,1.58,0.089156,0,-0.025836,4.3888,8.586,6.156966,0,0.047386,0.9418,9.7562,0.222991,0,-0.02155,7.8606,1.2811
159,1.59,0.0989,0,-0.025574,4.3888,8.586,6.167938,0,0.047186,0.9418,9.7562,0.233775,0,-0.021612,7.8606,1.2811
160,1.6,0.108647,0,-0.025313,4.3888,8.586,6.178908,0,0.046986,0.9418,9.7562,0.244558,0,-0.021673,7.8606,1.2811
161,1.61,0.118397,0,-0.025052,4.3888,8.586,6.189875,0,0.046787,0.9418,9.7562,0.255341,0,-0.021735,7.8606,1.2811
162,1.62,0.128149,0,-0.024793,4.3888,8.586,6.200841,0,0.046589,0.9418,9.7562,0.266123,0,-0.021796,7.8606,1.2811
163,1.63,0.137903,0,-0.024534,4.3888,8.586,6.211805,0,0.046391,0.9418,9.7562,0.276904,0,-0.021857,7.8606,1.2811
164,1.64,0.147661,0,-0.024277,4.3888,8.586,6.222767,0,0.046195,0.9418,9.7562,0.287685,0,-0.021918,7.8606,1.2811
165,1.65,0.15742,0,-0.02402,4.3888,8.586,6.233727,0,0.045998,0.9418,9.7562,0.298465,0,-0.021978,7.8606,1.2811
166,1.66,0.167183,0,-0.023764,4.3888,8.586,6.244685,0,0.045803,0.9418,9.7562,0.309245,0,-0.022039,7.8606,1.2811
167,1.67,0.176948,0,-0.023509,4.3888,8.586,6.255641,0,0.045609,0.9418,9.7562,0.320024,0,-0.022099,7.8606,1.2811
168,1.68,0.186715,0,-0.023255,4.3888,8.586,6.266595,0,0.045415,0.9418,9.7562,0.330802,0,-0.022159,7.8606,1.2811
169,1.69,0.196485,0,-0.023002,4.3888,8.586,6.277548,0,0.045221,0.9418,9.7562,0.34158,0,-0.022219,7.8606,1.2811
170,1.7,0.206258,0,-0.02275,4.3888,8.586,0.005313,1,0.045029,0.9418,9.7562,0.352357,0,-0.022279,7.8606,1.2811
171,1.71,0.216033,0,-0.022498,4.3888,8.586,0.016261,0,0.044837,0.9418,9.7562,0.363134,0,-0.022339,7.8606,1.2811
172,1.72,0.22581,0,-0.022248,4.3888,8.586,0.027207,0,0.044646,0.9418,9.7562,0.37391,0,-0.022398,7.8606,1.2811
173,1.73,0.23559,0,-0.021998,4.3888,8.586,0.038152,0,0.044456,0.9418,9.7562,0.384686,0,-0.022458,7.8606,1.2811
174,1.74,0.245373,0,-0.021749,4.3888,8.586,0.049095,0,0.044266,0.9418,9.7562,0.39546,0,-0.022517,7.8606,1.2811
175,1.75,0.255158,0,-0.021501,4.3888,8.586,0.060035,0,0.044077,0.9418,9.7562,0.406235,0,-0.022576,7.8606,1.2811
176,1.76,0.264945,0,-0.021254,4.3888,8.586,0.070974,0,0.043888,0.9418,9.7562,0.417008,0,-0.022635,7.8606,1.2811
177,1.77,0.274735,0,-0.021008,4.3888,8.586,0.081911,0,0.043701,0.9418,9.7562,0.427781,0,-0.022693,7.8606,1.2811
178,1.78,0.284527,0,-0.020762,4.3888,8.586,0.092846,0,0.043514,0.9418,9.7562,0.438554,0,-0.022752,7.8606,1.2811
179,1.79,0.294322,0,-0.020518,4.3888,8.586,0.10378,0,0.043328,0.9418,9.7562,0.449326,0,-0.02281,7.8606,1.2811
180,1.8,0.30412,0,-0.020274,4.3888,8.586,0.114711,0,0.043142,0.9418,9.7562,0.460097,0,-0.022868,7.8606,1.2811
181,1.81,0.313919,0,-0.020031,4.3888,8.586,0.125641,0,0.042957,0.9418,9.7562,0.470868,0,-0.022926,7.8606,1.2811
182,1.82,0.323721,0,-0.019789,4.3888,8.586,0.136568,0,0.042773,0.9418,9.7562,0.481638,0,-0.022984,7.8606,1.2811
