agent_id,drop_reason,dropped,event_type,frequency_hz,injected_delay_s,kept_for_p0,normalized_signal,phase_rad,raw_brightness,roi_id,source_t_s,t_s
P0,,,pi_flash,1.840339,,,,0.269768,,,,26.039032
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,26.039032,26.039032
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8276,,68.0,0,,26.206011
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9231,,106.0,1,,26.206011
P0,,,pi_flash,1.829389,,,,0.061993,,,,26.60629
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,26.60629,26.60629
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7414,,63.0,0,,26.731876
V1,,0,pi_detected_virtual_flash,,0.0,1,0.819,,96.0,1,,26.731876
P0,,,pi_flash,1.830337,,,,0.193809,,,,27.173301
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,27.173301,27.173301
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9153,,74.0,0,,27.419124
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7742,,94.0,1,,27.419124
P0,,,pi_flash,1.834445,,,,0.138181,,,,27.740351
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,27.740351,27.740351
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8475,,70.0,0,,27.940384
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8664,,104.0,1,,27.940384
P0,,,pi_flash,1.839647,,,,0.363297,,,,28.356393
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,28.356393,28.356393
V0,,0,pi_detected_virtual_flash,,0.0,1,0.6897,,61.0,0,,28.47468
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8333,,99.0,1,,28.47468
P0,,,pi_flash,1.847548,,,,0.136161,,,,28.912233
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,28.912233,28.912233
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8966,,73.0,0,,29.141265
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7573,,93.0,1,,29.141265
P0,,,pi_flash,1.855215,,,,0.42438,,,,29.520322
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,29.520322,29.520322
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8448,,70.0,0,,29.674819
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7313,,90.0,1,,29.674819
P0,,,pi_flash,1.860003,,,,0.136527,,,,30.075218
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,30.075218,30.075218
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7213,,62.0,0,,30.308543
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9064,,101.0,1,,30.308543
P0,,,pi_flash,1.84327,,,,6.256728,,,,30.642132
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,30.642132,30.642132
P0,,,pi_flash,1.840779,,,,1.239628,,,,30.755433
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,30.755433,30.755433
V1,,0,pi_detected_virtual_flash,,0.0,1,0.802,,91.0,1,,30.848753
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8614,,70.0,0,,30.885345
P0,,,pi_flash,1.829857,,,,0.106099,,,,31.242805
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,31.242805,31.242805
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8611,,70.0,0,,31.509741
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8549,,96.0,1,,31.509741
P0,,,pi_flash,1.81128,,,,0.271436,,,,31.85526
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,31.85526,31.85526
