common_frequency_hz,f_lock_hz,frequency_disagreement_hz,lock_acquired,lock_hold_enabled,lock_hold_state,lock_time_s,mean_pairwise_phase_error_cycles,order_parameter_R,relock_count,t_s,unlock_count
2.268348,,0.052558,0,1,acquisition,,0.088044,0.924969,0,51.194707,0
2.264478,,0.058645,0,1,acquisition,,0.082065,0.934644,0,51.423672,0
2.261517,,0.062921,0,1,acquisition,,0.088391,0.924388,0,51.628138,0
2.258648,,0.067644,0,1,acquisition,,0.078176,0.940597,0,51.8574,0
2.256271,,0.071947,0,1,acquisition,,0.089343,0.922784,0,52.095845,0
2.254009,,0.07644,0,1,acquisition,,0.028947,0.991747,0,52.324266,0
2.252516,,0.07927,0,1,acquisition,,0.076037,0.943756,0,52.556859,0
2.251254,,0.081875,0,1,acquisition,,0.061325,0.963229,0,52.758196,0
2.249413,,0.08501,0,1,acquisition,,0.06759,0.955422,0,53.032267,0
2.245655,,0.09089,0,1,acquisition,,0.043655,0.98128,0,53.25851,0
2.242044,,0.096338,0,1,acquisition,,0.10827,0.887695,0,53.499693,0
2.232645,,0.099024,0,1,acquisition,,0.042692,0.982092,0,53.725489,0
2.223164,,0.095204,0,1,acquisition,,0.096777,0.909722,0,53.959356,0
2.215704,,0.089258,0,1,acquisition,,0.092947,0.91657,0,54.192495,0
2.213575,,0.092805,0,1,acquisition,,0.094815,0.913262,0,54.42602,0
2.210178,,0.099566,0,1,acquisition,,0.092436,0.917465,0,54.659347,0
2.206071,,0.106319,0,1,acquisition,,0.103035,0.898,0,54.89407,0
2.202329,,0.112486,0,1,acquisition,,0.101088,0.901717,0,55.126633,0
2.199035,,0.117734,0,1,acquisition,,0.104915,0.894351,0,55.3622,0
2.196223,,0.122312,0,1,acquisition,,0.092051,0.918136,0,55.59309,0
2.19379,,0.126182,0,1,acquisition,,0.100366,0.903079,0,55.82995,0
2.191149,,0.128111,0,1,acquisition,,0.093542,0.915522,0,56.060415,0
2.188223,,0.130147,0,1,acquisition,,0.009472,0.999115,0,56.295278,0
2.186539,,0.130285,0,1,acquisition,,0.11525,0.873268,0,56.52758,0
2.184623,,0.130922,0,1,acquisition,,0.142341,0.810285,0,56.765587,0
2.182836,,0.1308,0,1,acquisition,,0.139593,0.81715,0,56.994276,0
2.181481,,0.13107,0,1,acquisition,,0.156735,0.772722,0,57.235449,0
2.178277,,0.125423,0,1,acquisition,,0.138614,0.819572,0,57.461322,0
2.171827,,0.110129,0,1,acquisition,,0.141602,0.81214,0,57.736258,0
2.168029,,0.102157,0,1,acquisition,,0.112996,0.878013,0,57.961387,0
2.168298,,0.104792,0,1,acquisition,,0.117328,0.868824,0,58.198601,0
2.1698,,0.101005,0,1,acquisition,,0.101584,0.900776,0,58.42857,0
2.16812,,0.08342,0,1,acquisition,,0.092403,0.917522,0,58.697897,0
2.164704,,0.06289,0,1,acquisition,,0.068144,0.954697,0,58.928702,0
2.162215,,0.047278,0,1,acquisition,,0.105655,0.892899,0,59.197641,0
2.154738,,0.036464,0,1,acquisition,,0.083904,0.931735,0,59.429522,0
2.145378,,0.030924,0,1,acquisition,,0.071371,0.950362,0,59.697973,0
2.134388,,0.025219,0,1,acquisition,,0.052699,0.972778,0,59.929526,0
