elapsed_ms,endpoint,error,monotonic_time_s,ok
11.64,GET /api/agents,,18038.754693,1
11.054,GET /api/agents,,18038.988034,1
12.994,GET /api/agents,,18039.221329,1
9.384,POST /api/pi_flash,,18039.448582,1
10.002,GET /api/agents,,18039.487998,1
10.225,GET /api/agents,,18039.721974,1
11.246,GET /api/agents,,18039.955303,1
9.166,POST /api/pi_flash,,18040.217537,1
11.696,GET /api/agents,,18040.226715,1
9.025,POST /api/pi_flash,,18040.315365,1
9.469,GET /api/agents,,18040.389175,1
12.211,GET /api/agents,,18040.588504,1
60.362,GET /api/agents,,18040.822373,1
8.688,POST /api/pi_flash,,18041.016102,1
8.745,GET /api/agents,,18041.056225,1
14.793,GET /api/agents,,18041.289649,1
14.127,GET /api/agents,,18041.522845,1
9.733,GET /api/agents,,18041.723,1
10.51,POST /api/pi_flash,,18041.816777,1
14.631,GET /api/agents,,18041.923485,1
12.081,GET /api/agents,,18042.156718,1
12.093,GET /api/agents,,18042.356781,1
17.771,POST /api/pi_flash,,18042.617131,1
6.677,GET /api/agents,,18042.634913,1
14.728,GET /api/agents,,18042.757219,1
19.913,GET /api/agents,,18042.9906,1
9.734,GET /api/agents,,18043.223863,1
21.455,POST /api/pi_flash,,18043.384372,1
8.032,GET /api/agents,,18043.424132,1
8.88,GET /api/agents,,18043.657821,1
14.058,GET /api/agents,,18043.891146,1
13.762,GET /api/agents,,18044.091089,1
9.342,POST /api/pi_flash,,18044.184578,1
10.225,GET /api/agents,,18044.291841,1
9.173,GET /api/agents,,18044.524988,1
9.248,GET /api/agents,,18044.72501,1
10.087,POST /api/pi_flash,,18044.985612,1
12.325,GET /api/agents,,18044.995711,1
20.59,GET /api/agents,,18045.125449,1
8.37,GET /api/agents,,18045.32934,1
12.992,GET /api/agents,,18045.55878,1
10.125,POST /api/pi_flash,,18045.785745,1
5.537,GET /api/agents,,18045.825766,1
25.316,GET /api/agents,,18046.05961,1
10.258,GET /api/agents,,18046.292738,1
9.28,GET /api/agents,,18046.49311,1
11.334,POST /api/pi_flash,,18046.586585,1
9.868,GET /api/agents,,18046.693373,1
10.23,GET /api/agents,,18046.92664,1
10.875,GET /api/agents,,18047.126609,1
8.705,POST /api/pi_flash,,18047.386799,1
7.915,GET /api/agents,,18047.395516,1
10.949,GET /api/agents,,18047.527133,1
35.216,GET /api/agents,,18047.727201,1
13.015,GET /api/agents,,18047.960517,1
11.912,POST /api/pi_flash,,18048.22078,1
5.635,GET /api/agents,,18048.232704,1
24.634,GET /api/agents,,18048.361163,1
9.137,GET /api/agents,,18048.561052,1
12.026,POST /api/stabilizer/config,,18049.098503,1
10.313,POST /api/pause,,18049.110538,1
