agent_id,drop_reason,dropped,event_type,frequency_hz,injected_delay_s,kept_for_p0,normalized_signal,phase_rad,raw_brightness,roi_id,source_t_s,t_s
P0,,,pi_flash,2.308631,,,,0.170888,,,,26.774003
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,26.774003,26.774003
V0,,0,pi_detected_virtual_flash,,0.0,1,0.918,,76.0,0,,26.877903
V1,,0,pi_detected_virtual_flash,,0.0,1,0.88,,105.0,1,,26.877903
P0,,,pi_flash,2.305788,,,,0.251623,,,,27.217635
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,27.217635,27.217635
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9021,,75.0,0,,27.318806
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8984,,107.0,1,,27.318806
P0,,,pi_flash,2.300835,,,,0.190487,,,,27.651208
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,27.651208,27.651208
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9076,,108.0,1,,27.743327
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8548,,72.0,0,,27.840972
P0,,,pi_flash,2.295822,,,,0.199605,,,,28.097449
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,28.097449,28.097449
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8226,,70.0,0,,28.274534
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8487,,102.0,1,,28.274534
P0,,,pi_flash,2.291881,,,,6.277596,,,,28.541439
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,28.541439,28.541439
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7581,,66.0,0,,28.70917
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8577,,103.0,1,,28.70917
P0,,,pi_flash,2.291581,,,,2.380603,,,,28.70917
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,28.70917,28.70917
P0,,,pi_flash,2.290445,,,,0.317216,,,,29.008343
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,29.008343,29.008343
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7411,,65.0,0,,29.141804
V1,,0,pi_detected_virtual_flash,,0.0,1,0.847,,102.0,1,,29.141804
P0,,,pi_flash,2.28987,,,,0.036145,,,,29.442094
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,29.442094,29.442094
V0,,0,pi_detected_virtual_flash,,0.0,1,0.745,,65.0,0,,29.575297
