model,variant,topology,freq_set,rep,n_agents,zero_lag_group_sync_success,phase_locked_group_success,phase_sync_success,frequency_lock_success,one_to_one_flash_lock_success,final_frequency_spread_hz,flash_count_ratio,extra_flash_rate_hz,mean_pairwise_timing_error_s,mean_pairwise_offset_jitter_s,mean_order_parameter_R,sync_diagnostic_label
pco_adaptive_prc,adaptive_prc,local_ring_5,n5_near_identical,7,5,False,False,False,False,True,0.201733,1.1111,0.2,0.154921,0.133733,0.963932,frequency_not_locked
pco_adaptive_prc,adaptive_prc,local_ring_5,n5_near_identical,8,5,False,False,False,False,True,0.201733,1.1111,0.2,0.154921,0.133733,0.963932,frequency_not_locked
pco_adaptive_prc,adaptive_prc,local_ring_5,n5_near_identical,9,5,False,False,False,False,True,0.201733,1.1111,0.2,0.154921,0.133733,0.963932,frequency_not_locked
pco_adaptive_prc,adaptive_prc,local_ring_5,n5_near_identical,10,5,False,False,False,False,True,0.201733,1.1111,0.2,0.154921,0.133733,0.963932,frequency_not_locked
pco_adaptive_prc,adaptive_prc,local_ring_5,n5_strong_heterogeneity,1,5,False,False,False,False,False,0.907463,1.6667,1.0,0.122069,0.13215,0.965824,extra_flashes_or_harmonic_locking
pco_adaptive_prc,adaptive_prc,local_ring_5,n5_strong_heterogeneity,2,5,False,False,False,False,False,0.907463,1.6667,1.0,0.122069,0.13215,0.965824,extra_flashes_or_harmonic_locking
pco_adaptive_prc,adaptive_prc,local_ring_5,n5_strong_heterogeneity,3,5,False,False,False,False,False,0.907463,1.6667,1.0,0.122069,0.13215,0.965824,extra_flashes_or_harmonic_locking
pco_adaptive_prc,adaptive_prc,local_ring_5,n5_strong_heterogeneity,4,5,False,False,False,False,False,0.907463,1.6667,1.0,0.122069,0.13215,0.965824,extra_flashes_or_harmonic_locking
pco_adaptive_prc,adaptive_prc,local_ring_5,n5_strong_heterogeneity,5,5,False,False,False,False,False,0.907463,1.6667,1.0,0.122069,0.13215,0.965824,extra_flashes_or_harmonic_locking
pco_adaptive_prc,adaptive_prc,local_ring_5,n5_strong_heterogeneity,6,5,False,False,False,False,False,0.907463,1.6667,1.0,0.122069,0.13215,0.965824,extra_flashes_or_harmonic_locking
pco_adaptive_prc,adaptive_prc,local_ring_5,n5_strong_heterogeneity,7,5,False,False,False,False,False,0.907463,1.6667,1.0,0.122069,0.13215,0.965824,extra_flashes_or_harmonic_locking
pco_adaptive_prc,adaptive_prc,local_ring_5,n5_strong_heterogeneity,8,5,False,False,False,False,False,0.907463,1.6667,1.0,0.122069,0.13215,0.965824,extra_flashes_or_harmonic_locking
pco_adaptive_prc,adaptive_prc,local_ring_5,n5_strong_heterogeneity,9,5,False,False,False,False,False,0.907463,1.6667,1.0,0.122069,0.13215,0.965824,extra_flashes_or_harmonic_locking
pco_adaptive_prc,adaptive_prc,local_ring_5,n5_strong_heterogeneity,10,5,False,False,False,False,False,0.907463,1.6667,1.0,0.122069,0.13215,0.965824,extra_flashes_or_harmonic_locking
pco_adaptive_prc,adaptive_prc,chain_5,n5_near_identical,1,5,False,False,False,False,True,0.297619,1.1667,0.3,0.149424,0.132984,0.963856,frequency_not_locked
pco_adaptive_prc,adaptive_prc,chain_5,n5_near_identical,2,5,False,False,False,False,True,0.297619,1.1667,0.3,0.149424,0.132984,0.963856,frequency_not_locked
pco_adaptive_prc,adaptive_prc,chain_5,n5_near_identical,3,5,False,False,False,False,True,0.297619,1.1667,0.3,0.149424,0.132984,0.963856,frequency_not_locked
pco_adaptive_prc,adaptive_prc,chain_5,n5_near_identical,4,5,False,False,False,False,True,0.297619,1.1667,0.3,0.149424,0.132984,0.963856,frequency_not_locked
pco_adaptive_prc,adaptive_prc,chain_5,n5_near_identical,5,5,False,False,False,False,True,0.297619,1.1667,0.3,0.149424,0.132984,0.963856,frequency_not_locked
pco_adaptive_prc,adaptive_prc,chain_5,n5_near_identical,6,5,False,False,False,False,True,0.297619,1.1667,0.3,0.149424,0.132984,0.963856,frequency_not_locked
pco_adaptive_prc,adaptive_prc,chain_5,n5_near_identical,7,5,False,False,False,False,True,0.297619,1.1667,0.3,0.149424,0.132984,0.963856,frequency_not_locked
pco_adaptive_prc,adaptive_prc,chain_5,n5_near_identical,8,5,False,False,False,False,True,0.297619,1.1667,0.3,0.149424,0.132984,0.963856,frequency_not_locked
pco_adaptive_prc,adaptive_prc,chain_5,n5_near_identical,9,5,False,False,False,False,True,0.297619,1.1667,0.3,0.149424,0.132984,0.963856,frequency_not_locked
pco_adaptive_prc,adaptive_prc,chain_5,n5_near_identical,10,5,False,False,False,False,True,0.297619,1.1667,0.3,0.149424,0.132984,0.963856,frequency_not_locked
pco_adaptive_prc,adaptive_prc,chain_5,n5_strong_heterogeneity,1,5,False,False,False,False,False,0.878597,1.6,0.9,0.124023,0.132685,0.965603,extra_flashes_or_harmonic_locking
pco_adaptive_prc,adaptive_prc,chain_5,n5_strong_heterogeneity,2,5,False,False,False,False,False,0.878597,1.6,0.9,0.124023,0.132685,0.965603,extra_flashes_or_harmonic_locking
pco_adaptive_prc,adaptive_prc,chain_5,n5_strong_heterogeneity,3,5,False,False,False,False,False,0.878597,1.6,0.9,0.124023,0.132685,0.965603,extra_flashes_or_harmonic_locking
pco_adaptive_prc,adaptive_prc,chain_5,n5_strong_heterogeneity,4,5,False,False,False,False,False,0.878597,1.6,0.9,0.124023,0.132685,0.965603,extra_flashes_or_harmonic_locking
