t_s,phase_rad,frequency_hz,phase_error_rad,follower_flash,loop_dt_ms
18.616753,5.968864,1.997265,0.306285,0,71.897
18.683482,0.529557,1.997346,0.315098,1,66.728
18.74373,1.292089,1.997417,0.309274,0,60.249
18.808876,2.116036,1.997481,0.303538,0,65.146
18.884899,3.076453,1.997539,0.297959,0,76.024
18.966199,4.103029,1.997591,0.292485,0,81.299
19.045921,5.109742,1.99764,0.287056,0,79.722
19.117979,6.020191,1.997684,0.281621,0,72.058
19.184874,0.582516,1.997719,0.262923,1,66.895
19.244659,1.338662,1.997746,0.256987,0,59.786
19.310004,2.164465,1.997766,0.251176,0,65.345
19.386201,3.12636,1.997782,0.245479,0,76.197
19.467849,4.15655,1.997793,0.239898,0,81.648
19.547249,5.15841,1.997801,0.234444,0,79.4
19.618915,6.063062,1.997807,0.229125,0,71.665
19.683801,0.599311,1.997824,0.221498,1,64.887
19.743427,1.352605,1.997852,0.217815,0,59.626
19.808568,2.175029,1.997887,0.214354,0,65.141
19.884293,3.130222,1.997929,0.211204,0,75.724
19.965129,4.14952,1.997975,0.208238,0,80.837
20.045353,5.161068,1.998025,0.205326,0,80.224
20.117612,6.07256,1.998077,0.202315,0,72.258
20.184291,0.630822,1.998119,0.210616,1,66.68
20.244005,1.38479,1.998152,0.206259,0,59.713
20.309033,2.205439,1.998178,0.201927,0,65.028
20.385739,3.172664,1.998199,0.197627,0,76.706
20.467207,4.199615,1.998215,0.19337,0,81.468
20.546837,5.203444,1.998227,0.18917,0,79.631
20.618858,6.111663,1.998236,0.18504,0,72.021
20.683655,0.645899,1.998251,0.172366,1,64.797
20.743315,1.398723,1.998272,0.169261,0,59.659
20.807964,2.214112,1.998296,0.16631,0,64.649
20.883986,3.172223,1.998324,0.163583,0,76.022
20.965047,4.193549,1.998354,0.160989,0,81.062
21.045266,5.204229,1.998386,0.158446,0,80.218
21.117507,6.1147,1.998419,0.155863,0,72.242
21.184121,0.671328,1.998444,0.168354,1,66.614
21.244791,1.436498,1.998463,0.16484,0,60.67
21.309179,2.24834,1.998477,0.161329,0,64.388
