t,follower_phase_rad,follower_frequency_hz,estimated_leader_phase_rad,phase_error_rad,coupling_term,follower_led_state,sync_state,bootstrap_estimate
1.79,4.222035,2.3,3.644247,-0.577788,-0.546172,0,0,0
1.8,4.347432,2.3,3.769911,-0.577521,-0.545949,0,0,0
1.81,4.472837,2.3,3.895575,-0.577262,-0.545732,0,0,0
1.82,4.59825,2.3,4.021239,-0.577011,-0.545522,0,0,0
1.83,4.72367,2.3,4.146902,-0.576768,-0.545317,0,0,0
1.84,4.849097,2.3,4.272566,-0.576531,-0.545119,0,0,0
1.85,4.974531,2.3,4.39823,-0.576302,-0.544927,0,0,0
1.86,5.099972,2.3,4.523893,-0.576079,-0.54474,0,0,0
1.87,5.225419,2.3,4.649557,-0.575862,-0.544558,0,0,0
1.88,5.350873,2.3,4.775221,-0.575652,-0.544382,0,0,0
1.89,5.476333,2.3,4.900885,-0.575449,-0.544211,0,0,0
1.9,5.601799,2.3,5.026548,-0.575251,-0.544045,0,0,0
1.91,5.727271,2.3,5.152212,-0.575059,-0.543884,0,0,0
1.92,5.852748,2.3,5.277876,-0.574872,-0.543728,0,0,0
1.93,5.978231,2.3,5.403539,-0.574691,-0.543576,0,0,0
1.94,6.103719,2.3,5.529203,-0.574516,-0.543428,0,0,0
1.95,6.229212,2.3,5.654867,-0.574345,-0.543285,1,0,0
1.96,0.071525,2.3,5.78053,-0.57418,-0.543146,0,0,0
1.97,0.197028,2.3,5.906194,-0.574019,-0.543012,0,0,0
1.98,0.322536,2.3,6.031858,-0.573863,-0.542881,0,0,0
1.99,0.448049,2.3,6.157522,-0.573712,-0.542754,0,0,0
2.0,0.573565,2.3,0.0,-0.573565,-0.54263,0,0,0
2.01,0.699087,2.3,0.125664,-0.573423,-0.542511,0,0,0
2.02,0.824612,2.3,0.251327,-0.573285,-0.542394,0,0,0
2.03,0.950141,2.3,0.376991,-0.57315,-0.542282,0,0,0
2.04,1.075675,2.3,0.502655,-0.57302,-0.542172,0,0,0
2.05,1.201212,2.3,0.628319,-0.572894,-0.542066,0,0,0
2.06,1.326753,2.3,0.753982,-0.572771,-0.541963,0,0,0
2.07,1.452298,2.3,0.879646,-0.572652,-0.541863,0,0,0
2.08,1.577846,2.3,1.00531,-0.572536,-0.541765,0,0,0
2.09,1.703397,2.3,1.130973,-0.572424,-0.541671,0,0,0
2.1,1.828952,2.3,1.256637,-0.572315,-0.541579,0,0,0
2.11,1.95451,2.3,1.382301,-0.572209,-0.541491,0,0,0
2.12,2.080071,2.3,1.507964,-0.572107,-0.541404,0,0,0
2.13,2.205635,2.3,1.633628,-0.572007,-0.541321,0,0,0
2.14,2.331202,2.3,1.759292,-0.57191,-0.541239,0,0,0
2.15,2.456772,2.3,1.884956,-0.571816,-0.54116,0,0,0
2.16,2.582345,2.3,2.010619,-0.571725,-0.541084,0,0,0
2.17,2.70792,2.3,2.136283,-0.571637,-0.54101,0,0,0
2.18,2.833498,2.3,2.261947,-0.571551,-0.540937,0,0,0
2.19,2.959078,2.3,2.38761,-0.571468,-0.540867,0,0,0
2.2,3.084661,2.3,2.513274,-0.571387,-0.540799,0,0,0
2.21,3.210247,2.3,2.638938,-0.571309,-0.540733,0,0,0
2.22,3.335834,2.3,2.764602,-0.571233,-0.540669,0,0,0
2.23,3.461424,2.3,2.890265,-0.571159,-0.540607,0,0,0
2.24,3.587016,2.3,3.015929,-0.571087,-0.540547,0,0,0
2.25,3.71261,2.3,3.141593,-0.571017,-0.540488,0,0,0
2.26,3.838206,2.3,3.267256,-0.57095,-0.540432,0,0,0
2.27,3.963804,2.3,3.39292,-0.570884,-0.540376,0,0,0
2.28,4.089405,2.3,3.518584,-0.570821,-0.540323,0,0,0
2.29,4.215007,2.3,3.644247,-0.570759,-0.540271,0,0,0
2.3,4.34061,2.3,3.769911,-0.570699,-0.54022,0,0,0
2.31,4.466216,2.3,3.895575,-0.570641,-0.540172,0,0,0
2.32,4.591823,2.3,4.021239,-0.570584,-0.540124,0,0,0
2.33,4.717432,2.3,4.146902,-0.57053,-0.540078,0,0,0
2.34,4.843043,2.3,4.272566,-0.570477,-0.540033,0,0,0
2.35,4.968655,2.3,4.39823,-0.570425,-0.53999,0,0,0
2.36,5.094268,2.3,4.523893,-0.570375,-0.539948,0,0,0
2.37,5.219883,2.3,4.649557,-0.570326,-0.539907,0,0,0
2.38,5.3455,2.3,4.775221,-0.570279,-0.539867,0,0,0
2.39,5.471118,2.3,4.900885,-0.570233,-0.539828,0,0,0
2.4,5.596737,2.3,5.026548,-0.570189,-0.539791,0,0,0
2.41,5.722358,2.3,5.152212,-0.570146,-0.539755,0,0,0
2.42,5.847979,2.3,5.277876,-0.570104,-0.539719,0,0,0
2.43,5.973603,2.3,5.403539,-0.570063,-0.539685,0,0,0
2.44,6.099227,2.3,5.529203,-0.570024,-0.539652,0,0,0
2.45,6.224852,2.3,5.654867,-0.569986,-0.53962,1,0,0
2.46,0.067294,2.3,5.78053,-0.569948,-0.539589,0,0,0
2.47,0.192921,2.3,5.906194,-0.569912,-0.539558,0,0,0
2.48,0.31855,2.3,6.031858,-0.569877,-0.539529,0,0,0
2.49,0.44418,2.3,6.157522,-0.569843,-0.5395,0,0,0
2.5,0.56981,2.3,6.283185,-0.56981,-0.539472,0,0,0
2.51,0.695442,2.3,0.125664,-0.569778,-0.539446,0,0,0
2.52,0.821075,2.3,0.251327,-0.569747,-0.539419,0,0,0
2.53,0.946708,2.3,0.376991,-0.569717,-0.539394,0,0,0
2.54,1.072343,2.3,0.502655,-0.569688,-0.539369,0,0,0
2.55,1.197978,2.3,0.628319,-0.56966,-0.539346,0,0,0
2.56,1.323614,2.3,0.753982,-0.569632,-0.539322,0,0,0
2.57,1.449251,2.3,0.879646,-0.569605,-0.5393,0,0,0
2.58,1.574889,2.3,1.00531,-0.56958,-0.539278,0,0,0
2.59,1.700528,2.3,1.130973,-0.569554,-0.539257,0,0,0
2.6,1.826167,2.3,1.256637,-0.56953,-0.539236,0,0,0
2.61,1.951807,2.3,1.382301,-0.569506,-0.539216,0,0,0
2.62,2.077448,2.3,1.507964,-0.569483,-0.539197,0,0,0
2.63,2.203089,2.3,1.633628,-0.569461,-0.539178,0,0,0
2.64,2.328731,2.3,1.759292,-0.569439,-0.53916,0,0,0
2.65,2.454374,2.3,1.884956,-0.569418,-0.539142,0,0,0
2.66,2.580017,2.3,2.010619,-0.569398,-0.539125,0,0,0
2.67,2.705661,2.3,2.136283,-0.569378,-0.539108,0,0,0
2.68,2.831305,2.3,2.261947,-0.569359,-0.539092,0,0,0
2.69,2.95695,2.3,2.38761,-0.56934,-0.539076,0,0,0
2.7,3.082596,2.3,2.513274,-0.569322,-0.539061,0,0,0
2.71,3.208242,2.3,2.638938,-0.569304,-0.539046,0,0,0
2.72,3.333889,2.3,2.764602,-0.569287,-0.539032,0,0,0
2.73,3.459536,2.3,2.890265,-0.569271,-0.539018,0,0,0
2.74,3.585184,2.3,3.015929,-0.569255,-0.539004,0,0,0
2.75,3.710832,2.3,3.141593,-0.569239,-0.538991,0,0,0
2.76,3.83648,2.3,3.267256,-0.569224,-0.538978,0,0,0
2.77,3.962129,2.3,3.39292,-0.569209,-0.538966,0,0,0
2.78,4.087779,2.3,3.518584,-0.569195,-0.538954,0,0,0
2.79,4.213429,2.3,3.644247,-0.569181,-0.538942,0,0,0
2.8,4.339079,2.3,3.769911,-0.569168,-0.538931,0,0,0
2.81,4.46473,2.3,3.895575,-0.569155,-0.53892,0,0,0
2.82,4.590381,2.3,4.021239,-0.569142,-0.538909,0,0,0
2.83,4.716032,2.3,4.146902,-0.56913,-0.538899,0,0,0
2.84,4.841684,2.3,4.272566,-0.569118,-0.538889,0,0,0
2.85,4.967336,2.3,4.39823,-0.569106,-0.538879,0,0,0
2.86,5.092988,2.3,4.523893,-0.569095,-0.53887,0,0,0
2.87,5.218641,2.3,4.649557,-0.569084,-0.538861,0,0,0
2.88,5.344294,2.3,4.775221,-0.569074,-0.538852,0,0,0
2.89,5.469948,2.3,4.900885,-0.569063,-0.538843,0,0,0
2.9,5.595602,2.3,5.026548,-0.569053,-0.538835,0,0,0
2.91,5.721256,2.3,5.152212,-0.569044,-0.538827,0,0,0
2.92,5.84691,2.3,5.277876,-0.569034,-0.538819,0,0,0
2.93,5.972565,2.3,5.403539,-0.569025,-0.538811,0,0,0
2.94,6.098219,2.3,5.529203,-0.569016,-0.538804,0,0,0
2.95,6.223875,2.3,5.654867,-0.569008,-0.538796,1,0,0
2.96,0.066345,2.3,5.78053,-0.568999,-0.538789,0,1,0
2.97,0.192,2.3,5.906194,-0.568991,-0.538783,0,1,0
2.98,0.317656,2.3,6.031858,-0.568984,-0.538776,0,1,0
2.99,0.443312,2.3,6.157522,-0.568976,-0.53877,0,1,0
3.0,0.568969,2.3,6.283185,-0.568969,-0.538763,0,1,0
