t_s,phase_rad,freq_hz,phase_err,coupling_term,flash
0.001347,0.012673,1.49296,-0.012639,-0.012638245056998664,0
0.001351,0.012709,1.492941,-0.012673,-0.01267295028185209,0
0.001355,0.012745,1.492921,-0.012709,-0.012708593015700173,0
0.001359,0.012778,1.492901,-0.012745,-0.01274423525939076,0
0.001362,0.012813,1.492882,-0.012778,-0.012778001390136738,0
0.001366,0.012848,1.492863,-0.012813,-0.012812704743562683,0
0.00137,0.012882,1.492843,-0.012848,-0.012847407632184246,0
0.001374,0.012919,1.492824,-0.012882,-0.01288211005596625,0
0.001378,0.012964,1.492804,-0.012919,-0.012918687810747956,0
0.001382,0.012999,1.492779,-0.012964,-0.01296370573770456,0
0.001386,0.013034,1.492759,-0.012999,-0.012998406603390439,0
0.00139,0.01307,1.492739,-0.013034,-0.013034044859910474,0
0.001394,0.013106,1.49272,-0.01307,-0.01306968262592505,0
0.001397,0.013141,1.4927,-0.013106,-0.01310531990139608,0
0.001401,0.013177,1.49268,-0.013141,-0.013140956686285482,0
0.001405,0.013214,1.49266,-0.013177,-0.013176592980555183,0
0.00141,0.013257,1.492639,-0.013214,-0.013214104366678598,0
0.001415,0.013305,1.492616,-0.013257,-0.013256304097199027,0
0.001419,0.01334,1.492589,-0.013305,-0.013304129713098467,0
0.001424,0.013386,1.492569,-0.01334,-0.013339763760355571,0
0.001427,0.013422,1.492544,-0.013386,-0.01338571236947363,0
0.001431,0.013458,1.492524,-0.013422,-0.01342134529292519,0
0.001435,0.013493,1.492503,-0.013458,-0.013457915428001689,0
0.001439,0.013529,1.492484,-0.013493,-0.013492609667360954,0
0.001443,0.013564,1.492464,-0.013529,-0.013528241117940905,0
0.001446,0.013599,1.492444,-0.013564,-0.013563872077487589,0
0.00145,0.013634,1.492425,-0.013599,-0.013598564895095437,0
0.001455,0.01368,1.492406,-0.013634,-0.013633257247103028,0
0.001459,0.013724,1.49238,-0.01368,-0.013679200368170847,0
0.001463,0.01376,1.492356,-0.013724,-0.0137232677275859,0
0.001467,0.013795,1.492335,-0.01376,-0.013759833591724925,0
0.001471,0.013834,1.492316,-0.013795,-0.013794523778858555,0
0.001475,0.013869,1.492294,-0.013834,-0.01383390133597221,0
0.001479,0.013904,1.492275,-0.013869,-0.013868590528519723,0
0.001482,0.013938,1.492255,-0.013904,-0.013903279255193895,0
0.001486,0.013973,1.492236,-0.013938,-0.013937967515959654,0
0.00149,0.014008,1.492217,-0.013973,-0.013972655310781939,0
0.001494,0.014043,1.492197,-0.014008,-0.014007342639625687,0
0.001497,0.014079,1.492177,-0.014043,-0.014042966992374842,0
0.001501,0.014115,1.492158,-0.014079,-0.014078590853541727,0
0.001505,0.01415,1.492138,-0.014115,-0.014114214223088372,0
0.00151,0.014196,1.492118,-0.01415,-0.014149837100976814,0
0.001514,0.014232,1.492092,-0.014196,-0.014195771306158926,0
0.001517,0.014267,1.492073,-0.014232,-0.014231393058263602,0
0.001521,0.014303,1.492053,-0.014267,-0.014266076910050123,0
0.001525,0.014339,1.492033,-0.014303,-0.014302635087413897,0
0.001529,0.014373,1.492013,-0.014339,-0.014338255364055561,0
0.001534,0.014419,1.491994,-0.014373,-0.01437293777909823,0
0.001539,0.014465,1.491968,-0.014419,-0.014418868012080083,0
0.001542,0.0145,1.491942,-0.014465,-0.01446479715421554,0
0.001546,0.014537,1.491923,-0.0145,-0.01449947814021548,0
0.00155,0.014572,1.491903,-0.014537,-0.014536032736291745,0
0.001555,0.014618,1.491883,-0.014572,-0.014571650061811166,0
0.001559,0.014654,1.491857,-0.014618,-0.01461757648212773,0
0.001562,0.014688,1.491838,-0.014654,-0.014653192408047508,0
0.001566,0.014723,1.491818,-0.014688,-0.014687870586540457,0
0.00157,0.014758,1.491799,-0.014723,-0.014722548298332697,0
0.001573,0.014792,1.49178,-0.014758,-0.014757225543389246,0
0.001578,0.014839,1.49176,-0.014792,-0.014791902321675128,0
0.001582,0.014875,1.491734,-0.014839,-0.014838762293657366,0
0.001586,0.014911,1.491714,-0.014875,-0.014874375161941443,0
0.00159,0.014946,1.491695,-0.014911,-0.01490998753775806,0
0.001595,0.014991,1.491675,-0.014946,-0.014945599421069346,0
0.001598,0.015026,1.49165,-0.014991,-0.014990582299078821,0
0.001602,0.01506,1.49163,-0.015026,-0.015025255935209293,0
0.001606,0.015097,1.491611,-0.01506,-0.015059929104298863,0
0.00161,0.015132,1.491591,-0.015097,-0.015096476020647003,0
0.001614,0.015176,1.491571,-0.015132,-0.01513114823029934,0
0.001618,0.015211,1.491547,-0.015176,-0.015175190784602336,0
0.001622,0.015248,1.491527,-0.015211,-0.01521079899885051,0
0.001626,0.015283,1.491507,-0.015248,-0.015247343772490027,0
0.00163,0.015318,1.491487,-0.015283,-0.015282013949161692,0
0.001633,0.015354,1.491467,-0.015318,-0.015317620684821098,0
0.001637,0.015389,1.491448,-0.015354,-0.015353226927541923,0
0.001641,0.015424,1.491428,-0.015389,-0.015387895676945493,0
0.001645,0.015459,1.491408,-0.015424,-0.01542350094665043,0
0.001648,0.015493,1.491389,-0.015459,-0.015458168748572443,0
0.001652,0.015528,1.49137,-0.015493,-0.015492836083017488,0
0.001656,0.015564,1.491351,-0.015528,-0.015527502949950664,0
0.00166,0.015599,1.491331,-0.015564,-0.015563106286160583,0
0.001665,0.015646,1.491311,-0.015599,-0.015598709129171244,0
0.001668,0.015682,1.491285,-0.015646,-0.015645554408233658,0
0.001672,0.015717,1.491265,-0.015682,-0.015681156108951006,0
0.001677,0.015764,1.491245,-0.015717,-0.015716757316343796,0
0.001681,0.015799,1.491219,-0.015764,-0.01576360017041561,0
0.001685,0.015835,1.4912,-0.015799,-0.015798263384499092,0
0.00169,0.015881,1.49118,-0.015835,-0.01583386296884862,0
0.001694,0.015919,1.491154,-0.015881,-0.015880703959801606,0
0.001698,0.015954,1.491133,-0.015919,-0.015918176017254346,0
0.001701,0.01599,1.491113,-0.015954,-0.01595377393917971,0
0.001706,0.016036,1.491093,-0.01599,-0.015989371367491314,0
0.00171,0.016072,1.491068,-0.016036,-0.016035272753105487,0
0.001715,0.01612,1.491048,-0.016072,-0.016070869051156907,0
0.001719,0.016156,1.491021,-0.01612,-0.01611957892183754,0
0.001723,0.016191,1.491001,-0.016156,-0.01615517405044926,0
0.001727,0.016227,1.490982,-0.016191,-0.016189831977406897,0
0.00173,0.016264,1.490961,-0.016227,-0.016226362826480923,0
0.001734,0.016298,1.490941,-0.016264,-0.016262893155314914,0
0.001738,0.016335,1.490922,-0.016298,-0.01629754962690166,0
0.001742,0.016369,1.490901,-0.016335,-0.01633407894181778,0
0.001746,0.016405,1.490882,-0.016369,-0.01636873445140975,0
0.001749,0.016441,1.490862,-0.016405,-0.016404326122438386,0
0.001753,0.016476,1.490842,-0.016441,-0.01643991729937575,0
0.001757,0.016511,1.490822,-0.016476,-0.01647550798218415,0
0.001762,0.016557,1.490803,-0.016511,-0.016510161580008877,0
0.001766,0.016592,1.490778,-0.016557,-0.01655605364617967,0
0.001771,0.016641,1.490758,-0.016592,-0.016591642716302937,0
0.001775,0.01668,1.490731,-0.016641,-0.016640342967819525,0
0.001779,0.016715,1.490709,-0.01668,-0.016678740458814942,0
0.001783,0.016751,1.490689,-0.016715,-0.016714327824777213,0
0.001786,0.016785,1.49067,-0.016751,-0.016749914696319996,0
0.00179,0.016821,1.49065,-0.016785,-0.0167845645828979,0
0.001795,0.016867,1.49063,-0.016821,-0.016820150478502417,0
0.001799,0.016902,1.490605,-0.016867,-0.016866036719095,0
0.001802,0.016938,1.490585,-0.016902,-0.016901621482428637,0
0.001806,0.016974,1.490565,-0.016938,-0.016937205751144626,0
0.00181,0.017008,1.490545,-0.016974,-0.016972789525205322,0
0.001814,0.017044,1.490526,-0.017008,-0.017007436395588448,0
0.001818,0.01708,1.490506,-0.017044,-0.017043019193245558,0
0.001822,0.017117,1.490486,-0.01708,-0.017079537879407036,0
0.001825,0.017152,1.490466,-0.017117,-0.017116056044377242,0
0.001829,0.017187,1.490446,-0.017152,-0.01715070097501775,0
0.001834,0.017233,1.490427,-0.017187,-0.01718628178035651,0
0.001838,0.017268,1.490401,-0.017233,-0.017232161729134363,0
0.001841,0.017303,1.490382,-0.017268,-0.017266805087258356,0
0.001846,0.017348,1.490362,-0.017303,-0.017302384277458432,0
0.001851,0.017391,1.490337,-0.017348,-0.017347325855194485,0
0.001855,0.017427,1.490313,-0.017391,-0.017390394099500273,0
0.001858,0.017461,1.490293,-0.017427,-0.017425971569917802,0
0.001862,0.017496,1.490274,-0.017461,-0.017460612302085253,0
0.001866,0.017531,1.490254,-0.017496,-0.01749525256476522,0
0.00187,0.017565,1.490235,-0.017531,-0.017529892357923026,0
0.001873,0.017602,1.490216,-0.017565,-0.01756453168152399,0
0.001877,0.017636,1.490195,-0.017602,-0.01760104292014693,0
0.001881,0.017671,1.490177,-0.017636,-0.017634745100193118,0
0.001885,0.017706,1.490157,-0.017671,-0.017670319168805168,0
0.001889,0.01775,1.490138,-0.017706,-0.017704956588441692,0
0.001893,0.017785,1.490113,-0.01775,-0.017748954946140767,0
0.001897,0.01782,1.490093,-0.017785,-0.01778452742402705,0
0.0019,0.017855,1.490074,-0.01782,-0.017819163294683797,0
0.001904,0.017891,1.490055,-0.017855,-0.017853798695494204,0
0.001908,0.017925,1.490034,-0.017891,-0.017890305798967318,0
0.001912,0.01796,1.490016,-0.017925,-0.017924004161671177,0
0.001915,0.017995,1.489996,-0.01796,-0.01795863814003266,0
0.00192,0.018038,1.489976,-0.017995,-0.017994207696238565,0
0.001925,0.018081,1.489952,-0.018038,-0.0180372650343676,0
0.001928,0.018117,1.489928,-0.018081,-0.01808032137351989,0
0.001933,0.01816,1.489909,-0.018117,-0.018115889505920628,0
0.001937,0.018196,1.489885,-0.01816,-0.01815894451814683,0
0.001941,0.018231,1.489865,-0.018196,-0.018194511281885043,0
0.001944,0.018266,1.489845,-0.018231,-0.01823007754964036,0
0.001948,0.0183,1.489826,-0.018266,-0.018264707373141478,0
0.001952,0.018336,1.489806,-0.0183,-0.018299336726350802,0
0.001955,0.018371,1.489787,-0.018336,-0.018334901532044104,0
0.00196,0.018416,1.489767,-0.018371,-0.01836952993185292,0
0.001964,0.018454,1.489742,-0.018416,-0.018415388624675122,0
0.001968,0.018489,1.489721,-0.018454,-0.018452823571626996,0
0.001972,0.018524,1.489701,-0.018489,-0.018488386235853332,0
0.001976,0.01856,1.489682,-0.018524,-0.01852301255039502,0
0.001979,0.018595,1.489662,-0.01856,-0.01855857423506077,0
0.001983,0.01863,1.489642,-0.018595,-0.01859413542336004,0
0.001987,0.018665,1.489623,-0.01863,-0.018628760300708397,0
0.001991,0.018701,1.489603,-0.018665,-0.018664320509227277,0
0.001995,0.018737,1.489583,-0.018701,-0.01869988022126833,0
0.002,0.018782,1.489564,-0.018737,-0.01873543943679412,0
0.002004,0.018821,1.489538,-0.018782,-0.01878129154356038,0
0.002007,0.018854,1.489517,-0.018821,-0.01881965685940487,0
0.002011,0.018891,1.489498,-0.018854,-0.01885334293882108,0
0.002016,0.018933,1.489478,-0.018891,-0.0188898357303311,0
0.002019,0.018969,1.489454,-0.018933,-0.0189319422334223,0
0.002023,0.019003,1.489434,-0.018969,-0.01896749820760941,0
0.002027,0.019038,1.489415,-0.019003,-0.019002118007683488,0
0.002031,0.019073,1.489396,-0.019038,-0.01903673733672968,0
0.002034,0.019107,1.489376,-0.019073,-0.019071356194713465,0
0.002038,0.019145,1.489357,-0.019107,-0.01910597458160032,0
0.002042,0.01918,1.489336,-0.019145,-0.019143399376463293,0
0.002047,0.019223,1.489317,-0.01918,-0.01917895239546649,0
0.002051,0.01926,1.489293,-0.019223,-0.01922198971315125,0
0.002054,0.019295,1.489272,-0.01926,-0.019258477217114905,0
0.002058,0.01933,1.489252,-0.019295,-0.019294028627208085,0
0.002062,0.019366,1.489233,-0.01933,-0.01932864398296778,0
0.002066,0.019402,1.489213,-0.019366,-0.019365129956263757,0
0.002069,0.019437,1.489193,-0.019402,-0.01940067987482414,0
0.002073,0.019471,1.489174,-0.019437,-0.019435293778194786,0
0.002079,0.019524,1.489154,-0.019471,-0.019469907210105823,0
0.002084,0.019572,1.489125,-0.019524,-0.019523229744032512,0
0.002088,0.019608,1.489098,-0.019572,-0.01957093859590145,0
0.002091,0.019642,1.489078,-0.019608,-0.01960648563511186,0
0.002095,0.019678,1.489059,-0.019642,-0.01964109673469826,0
0.0021,0.019726,1.489039,-0.019678,-0.019676642792027268,0
0.002104,0.019762,1.489013,-0.019726,-0.019724348762316095,0
0.002108,0.019798,1.488992,-0.019762,-0.01976082905300848,0
0.002112,0.019832,1.488973,-0.019798,-0.019796373434254104,0
0.002116,0.019868,1.488953,-0.019832,-0.01983098194563161,0
0.002119,0.019902,1.488934,-0.019868,-0.019866525344602367,0
0.002123,0.019938,1.488914,-0.019902,-0.01990113289948398,0
0.002127,0.019974,1.488894,-0.019938,-0.01993667531603457,0
0.002139,0.020088,1.488875,-0.019974,-0.019972217234770065,0
0.002144,0.020136,1.488811,-0.020088,-0.020086323597131833,0
0.002148,0.020171,1.488784,-0.020136,-0.020134957131970974,0
0.002152,0.020206,1.488765,-0.020171,-0.020169561025331982,0
0.002155,0.02024,1.488745,-0.020206,-0.02020416444650272,0
0.002159,0.020276,1.488726,-0.02024,-0.020238767395448786,0
