agent_id,fire_count,flash_on,frequency_hz,phase_rad,pi_flash_events_consumed,received_neighbour_events,role,t_s,topology
V1,23,1,1.910933,1.642918,24,48,virtual,11.596198,all_to_all
P0,24,0,1.894149,1.433903,,2,pi,11.596198,all_to_all
V0,24,0,1.90232,4.6804,24,47,virtual,11.82802,all_to_all
V1,23,0,1.903304,4.692504,24,48,virtual,11.82802,all_to_all
P0,24,0,1.891563,4.1561,,0,pi,11.82802,all_to_all
V0,25,1,1.89612,1.443468,25,49,virtual,12.131701,all_to_all
V1,24,1,1.896911,1.454949,25,50,virtual,12.131701,all_to_all
P0,25,0,1.889938,1.453899,,2,pi,12.131701,all_to_all
V0,25,0,1.891428,4.099068,25,49,virtual,12.361849,all_to_all
V1,24,0,1.89214,4.110017,25,50,virtual,12.361849,all_to_all
P0,25,0,1.88871,4.159927,,0,pi,12.361849,all_to_all
V0,26,1,1.886342,1.229955,26,51,virtual,12.665152,all_to_all
V1,25,1,1.886984,1.240308,26,52,virtual,12.665152,all_to_all
P0,26,0,1.887543,1.445635,,2,pi,12.665152,all_to_all
V0,26,0,1.883088,3.895785,26,51,virtual,12.895371,all_to_all
V1,25,0,1.883655,3.905584,26,52,virtual,12.895371,all_to_all
P0,26,0,1.885877,4.145006,,0,pi,12.895371,all_to_all
V0,27,1,1.878663,1.425583,27,53,virtual,13.226041,all_to_all
V1,26,1,1.879713,1.434803,27,54,virtual,13.226041,all_to_all
P0,27,0,1.884106,1.748284,,0,pi,13.226041,all_to_all
V0,27,0,1.874221,3.704019,27,53,virtual,13.428865,all_to_all
V1,26,0,1.877661,3.71696,27,54,virtual,13.428865,all_to_all
P0,27,0,1.882662,4.038106,,0,pi,13.428865,all_to_all
V0,28,1,1.867424,0.828489,27,54,virtual,13.661548,all_to_all
V1,27,1,1.875004,0.858158,27,55,virtual,13.661548,all_to_all
P0,28,1,1.881044,0.234417,,0,pi,13.661548,all_to_all
V0,28,1,1.864689,2.341585,28,55,virtual,13.862658,all_to_all
V1,27,1,1.873967,2.379022,28,56,virtual,13.862658,all_to_all
P0,28,0,1.880818,2.507657,,0,pi,13.862658,all_to_all
V0,28,0,1.860404,4.983228,28,55,virtual,14.095211,all_to_all
V1,27,0,1.872348,5.036971,28,56,virtual,14.095211,all_to_all
P0,28,0,1.881413,5.194956,,0,pi,14.095211,all_to_all
V0,29,1,1.85721,0.960823,29,57,virtual,14.302855,all_to_all
V1,28,1,1.87083,1.031869,29,58,virtual,14.302855,all_to_all
P0,29,0,1.882006,1.351379,,0,pi,14.302855,all_to_all
V0,29,0,1.853963,3.597366,29,57,virtual,14.529443,all_to_all
V1,28,0,1.866901,3.681263,29,58,virtual,14.529443,all_to_all
P0,29,0,1.882203,3.927796,,0,pi,14.529443,all_to_all
V0,30,1,1.850456,0.705538,29,58,virtual,14.762017,all_to_all
V1,29,1,1.861282,0.795578,29,59,virtual,14.762017,all_to_all
P0,30,1,1.881045,0.161182,,0,pi,14.762017,all_to_all
V0,30,1,1.849113,2.214653,30,59,virtual,14.9631,all_to_all
V1,29,1,1.857979,2.296389,30,60,virtual,14.9631,all_to_all
P0,30,0,1.880273,2.398883,,0,pi,14.9631,all_to_all
V0,30,0,1.847312,4.476135,30,59,virtual,15.16311,all_to_all
V1,29,0,1.852506,4.534422,30,60,virtual,15.16311,all_to_all
P0,30,0,1.879144,4.565998,,0,pi,15.16311,all_to_all
V0,31,1,1.845168,1.20628,31,61,virtual,15.430416,all_to_all
V1,30,1,1.846091,1.227338,31,62,virtual,15.430416,all_to_all
P0,31,0,1.878116,1.262448,,0,pi,15.430416,all_to_all
V0,31,0,1.841386,3.825312,31,61,virtual,15.663173,all_to_all
V1,30,0,1.841239,3.834901,31,62,virtual,15.663173,all_to_all
P0,31,0,1.874932,3.811094,,0,pi,15.663173,all_to_all
V0,32,1,1.835544,0.893145,31,62,virtual,15.895864,all_to_all
V1,31,1,1.835156,0.898091,31,63,virtual,15.895864,all_to_all
P0,32,1,1.870133,0.075583,,0,pi,15.895864,all_to_all
V0,32,1,1.831151,2.374332,32,63,virtual,16.096877,all_to_all
V1,31,1,1.830756,2.378233,32,64,virtual,16.096877,all_to_all
P0,32,0,1.866998,2.330943,,0,pi,16.096877,all_to_all
V0,32,0,1.821776,4.949229,32,63,virtual,16.330093,all_to_all
V1,31,0,1.821401,4.951811,32,64,virtual,16.330093,all_to_all
P0,32,0,1.860508,4.877881,,0,pi,16.330093,all_to_all
V0,33,1,1.812726,1.223928,33,65,virtual,16.572255,all_to_all
V1,32,1,1.812381,1.225521,33,66,virtual,16.572255,all_to_all
P0,33,0,1.856147,1.301234,,2,pi,16.572255,all_to_all
V0,33,0,1.804655,3.775403,33,65,virtual,16.797094,all_to_all
V1,32,0,1.804337,3.776238,33,66,virtual,16.797094,all_to_all
P0,33,0,1.853533,3.858081,,0,pi,16.797094,all_to_all
V0,34,1,1.796725,0.398005,33,66,virtual,17.029519,all_to_all
V1,33,1,1.796436,0.398145,33,67,virtual,17.029519,all_to_all
P0,34,1,1.85273,0.271138,,0,pi,17.029519,all_to_all
V0,34,1,1.793233,1.85618,34,67,virtual,17.230826,all_to_all
V1,33,1,1.792963,1.856046,34,68,virtual,17.230826,all_to_all
P0,34,0,1.852245,2.60018,,1,pi,17.230826,all_to_all
V0,34,0,1.787113,4.782221,34,67,virtual,17.4633,all_to_all
V1,33,0,1.786883,4.781679,34,68,virtual,17.4633,all_to_all
P0,34,0,1.848183,5.115664,,0,pi,17.4633,all_to_all
V0,35,1,1.78257,1.054615,35,69,virtual,17.709025,all_to_all
V1,34,1,1.782372,1.053831,35,70,virtual,17.709025,all_to_all
P0,35,0,1.84525,1.543334,,0,pi,17.709025,all_to_all
V0,35,0,1.779137,3.233898,35,69,virtual,17.931095,all_to_all
V1,34,0,1.778964,3.232972,35,70,virtual,17.931095,all_to_all
P0,35,0,1.842665,3.920347,,0,pi,17.931095,all_to_all
V0,36,1,1.774732,0.209285,35,69,virtual,18.163395,all_to_all
V1,35,1,1.774591,0.208233,35,70,virtual,18.163395,all_to_all
P0,36,1,1.841418,0.129498,,0,pi,18.163395,all_to_all
V0,36,1,1.773003,1.658683,36,71,virtual,18.363851,all_to_all
V1,35,1,1.772874,1.657602,36,72,virtual,18.363851,all_to_all
P0,36,0,1.840997,2.349361,,0,pi,18.363851,all_to_all
V0,36,0,1.770633,3.835538,36,71,virtual,18.564519,all_to_all
V1,35,0,1.77052,3.834434,36,72,virtual,18.564519,all_to_all
P0,36,0,1.837963,4.457102,,0,pi,18.564519,all_to_all
V0,37,1,1.767587,0.81674,37,73,virtual,18.866387,all_to_all
V1,36,1,1.767494,0.815643,37,74,virtual,18.866387,all_to_all
P0,37,0,1.832644,1.364781,,0,pi,18.866387,all_to_all
V0,37,0,1.765584,3.347079,37,73,virtual,19.098134,all_to_all
V1,36,0,1.765505,3.346012,37,74,virtual,19.098134,all_to_all
P0,37,0,1.829185,3.766336,,0,pi,19.098134,all_to_all
V0,37,0,1.763861,5.873092,37,73,virtual,19.330666,all_to_all
V1,36,0,1.763793,5.872069,37,74,virtual,19.330666,all_to_all
P0,37,0,1.828029,6.245257,,0,pi,19.330666,all_to_all
V0,38,1,1.762557,1.747593,38,75,virtual,19.53181,all_to_all
V1,37,1,1.762498,1.746615,38,76,virtual,19.53181,all_to_all
P0,38,0,1.827165,2.155351,,0,pi,19.53181,all_to_all
V0,38,0,1.761356,3.889129,38,75,virtual,19.731958,all_to_all
V1,37,0,1.761304,3.888201,38,76,virtual,19.731958,all_to_all
P0,38,0,1.823795,4.281446,,0,pi,19.731958,all_to_all
V0,39,1,1.759797,0.815914,39,77,virtual,20.039042,all_to_all
V1,38,1,1.759754,0.815066,39,78,virtual,20.039042,all_to_all
P0,39,0,1.819159,1.328678,,0,pi,20.039042,all_to_all
V0,39,0,1.75879,3.325706,39,77,virtual,20.265318,all_to_all
V1,38,0,1.758754,3.324921,39,78,virtual,20.265318,all_to_all
P0,39,0,1.809513,3.703534,,0,pi,20.265318,all_to_all
V0,39,0,1.757935,5.842769,39,77,virtual,20.501335,all_to_all
V1,38,0,1.757904,5.842046,39,78,virtual,20.501335,all_to_all
P0,39,0,1.792663,6.116563,,0,pi,20.501335,all_to_all
V0,40,1,1.755259,2.068667,40,79,virtual,20.732283,all_to_all
V1,39,1,1.755233,2.068006,40,80,virtual,20.732283,all_to_all
P0,40,0,1.783185,2.251932,,0,pi,20.732283,all_to_all
V0,40,0,1.749139,4.550227,40,79,virtual,20.965535,all_to_all
V1,39,0,1.749116,4.549623,40,80,virtual,20.965535,all_to_all
P0,40,0,1.780609,4.700641,,0,pi,20.965535,all_to_all
V0,41,1,1.742428,1.088238,41,81,virtual,21.243728,all_to_all
V1,40,1,1.742409,1.087698,41,82,virtual,21.243728,all_to_all
P0,41,0,1.78124,1.399694,,0,pi,21.243728,all_to_all
V0,41,0,1.737456,3.558183,41,81,virtual,21.465851,all_to_all
V1,40,0,1.73744,3.557694,41,82,virtual,21.465851,all_to_all
P0,41,0,1.775109,3.70147,,0,pi,21.465851,all_to_all
V0,41,0,1.732876,6.02414,41,81,virtual,21.69856,all_to_all
V1,40,0,1.732862,6.023699,41,82,virtual,21.69856,all_to_all
P0,41,0,1.761947,6.063282,,0,pi,21.69856,all_to_all
V0,42,1,1.728285,1.85133,42,83,virtual,21.899762,all_to_all
V1,41,1,1.728272,1.850926,42,84,virtual,21.899762,all_to_all
P0,42,0,1.75635,1.891633,,0,pi,21.899762,all_to_all
V0,42,0,1.722,4.312129,42,83,virtual,22.132787,all_to_all
V1,41,0,1.721989,4.311767,42,84,virtual,22.132787,all_to_all
P0,42,0,1.756234,4.344581,,0,pi,22.132787,all_to_all
V0,43,1,1.714119,1.179036,43,85,virtual,22.436592,all_to_all
V1,42,1,1.71411,1.178722,43,86,virtual,22.436592,all_to_all
P0,43,0,1.759693,1.344542,,0,pi,22.436592,all_to_all
V0,43,0,1.706795,3.615539,43,85,virtual,22.666372,all_to_all
V1,42,0,1.706788,3.615258,43,86,virtual,22.666372,all_to_all
P0,43,0,1.756165,3.74198,,0,pi,22.666372,all_to_all
V0,43,0,1.69985,6.038356,43,85,virtual,22.89896,all_to_all
V1,42,0,1.699844,6.038105,43,86,virtual,22.89896,all_to_all
P0,43,0,1.745609,6.076384,,0,pi,22.89896,all_to_all
V0,44,1,1.694602,1.826208,44,87,virtual,23.099932,all_to_all
V1,43,1,1.694596,1.825981,44,88,virtual,23.099932,all_to_all
P0,44,0,1.739644,1.889861,,0,pi,23.099932,all_to_all
V0,44,0,1.690033,3.895756,44,87,virtual,23.299939,all_to_all
V1,43,0,1.690028,3.895551,44,88,virtual,23.299939,all_to_all
P0,44,0,1.732213,3.996519,,0,pi,23.299939,all_to_all
V0,45,1,1.684828,0.365051,44,88,virtual,23.532667,all_to_all
V1,44,1,1.684824,0.364871,44,89,virtual,23.532667,all_to_all
P0,45,1,1.724999,0.191806,,0,pi,23.532667,all_to_all
V0,45,1,1.682554,1.741731,45,89,virtual,23.73394,all_to_all
V1,44,1,1.68255,1.741564,45,90,virtual,23.73394,all_to_all
P0,45,0,1.721393,2.332575,,0,pi,23.73394,all_to_all
V0,45,0,1.679031,4.151356,45,89,virtual,23.966213,all_to_all
V1,44,0,1.679027,4.151207,45,90,virtual,23.966213,all_to_all
P0,45,0,1.715793,4.669375,,0,pi,23.966213,all_to_all
V0,46,1,1.675621,0.617692,46,91,virtual,24.238244,all_to_all
V1,45,1,1.675618,0.617563,46,92,virtual,24.238244,all_to_all
P0,46,0,1.711633,1.143077,,0,pi,24.238244,all_to_all
V0,46,0,1.673097,3.013234,46,91,virtual,24.467449,all_to_all
V1,45,0,1.673094,3.01312,46,92,virtual,24.467449,all_to_all
P0,46,0,1.702689,3.38956,,0,pi,24.467449,all_to_all
V0,46,0,1.670936,5.403714,46,91,virtual,24.700002,all_to_all
V1,45,0,1.670934,5.403613,46,92,virtual,24.700002,all_to_all
P0,46,0,1.687457,5.630543,,0,pi,24.700002,all_to_all
V0,47,1,1.668571,2.183184,48,94,virtual,25.003691,all_to_all
V1,46,1,1.66857,2.183098,48,95,virtual,25.003691,all_to_all
P0,48,0,1.679722,2.44234,,0,pi,25.003691,all_to_all
V0,47,0,1.666986,4.500048,48,94,virtual,25.234402,all_to_all
V1,46,0,1.666984,4.499972,48,95,virtual,25.234402,all_to_all
P0,48,0,1.674359,4.809834,,0,pi,25.234402,all_to_all
V0,48,1,1.665442,0.846023,49,96,virtual,25.50186,all_to_all
V1,47,1,1.66544,0.845957,49,97,virtual,25.50186,all_to_all
P0,49,0,1.67301,1.334704,,0,pi,25.50186,all_to_all
V0,48,0,1.664317,3.190946,49,96,virtual,25.734573,all_to_all
V1,47,0,1.664316,3.190888,49,97,virtual,25.734573,all_to_all
P0,49,0,1.664452,3.670958,,0,pi,25.734573,all_to_all
V0,48,0,1.663364,5.561372,49,96,virtual,25.96722,all_to_all
V1,47,0,1.663364,5.561322,49,97,virtual,25.96722,all_to_all
P0,49,0,1.653884,5.94758,,0,pi,25.96722,all_to_all
V0,49,1,1.662189,1.314979,50,98,virtual,26.16741,all_to_all
V1,48,1,1.662188,1.314933,50,99,virtual,26.16741,all_to_all
P0,50,0,1.646991,1.633887,,1,pi,26.16741,all_to_all
V0,49,0,1.659614,3.346671,50,98,virtual,26.368259,all_to_all
V1,48,0,1.659613,3.34663,50,99,virtual,26.368259,all_to_all
P0,50,0,1.638014,3.538772,,0,pi,26.368259,all_to_all
V0,49,0,1.656345,5.711825,50,98,virtual,26.60079,all_to_all
V1,48,0,1.656345,5.71179,50,99,virtual,26.60079,all_to_all
P0,50,0,1.630225,5.760098,,0,pi,26.60079,all_to_all
V0,50,1,1.653752,1.453851,51,100,virtual,26.800833,all_to_all
V1,49,1,1.653752,1.453819,51,101,virtual,26.800833,all_to_all
