model,variant,topology,freq_set,n_trials,zero_lag_group_sync_success_rate,phase_locked_group_success_rate,phase_sync_success_rate,frequency_lock_success_rate,one_to_one_flash_lock_success_rate,mean_final_frequency_spread_hz,mean_flash_count_ratio,mean_extra_flash_rate_hz,mean_mean_pairwise_timing_error_s,mean_mean_pairwise_offset_jitter_s,mean_mean_order_parameter_R,dominant_diagnostic
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.01,all_to_all,near_identical,2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.175593,0.038504,0.972534,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.01,all_to_all,strong_heterogeneity,2,0.0,0.0,0.0,0.0,0.0,0.720742,1.5333,0.8,0.132549,0.152178,0.971367,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.01,chain,near_identical,2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.175593,0.038504,0.972534,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.01,chain,strong_heterogeneity,2,0.0,0.0,0.0,0.0,0.0,0.50536,1.3333,0.5,0.147451,0.142995,0.970946,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.01,directed_chain,near_identical,2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.175593,0.038504,0.972534,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.01,directed_chain,strong_heterogeneity,2,0.0,0.0,0.0,0.0,0.0,0.50536,1.3333,0.5,0.147451,0.142995,0.970946,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.03,all_to_all,near_identical,2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.175593,0.038504,0.972534,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.03,all_to_all,strong_heterogeneity,2,0.0,0.0,0.0,0.0,0.0,0.720742,1.5333,0.8,0.132549,0.152178,0.971367,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.03,chain,near_identical,2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.175593,0.038504,0.972534,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.03,chain,strong_heterogeneity,2,0.0,0.0,0.0,0.0,0.0,0.50536,1.3333,0.5,0.147451,0.142995,0.970946,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.03,directed_chain,near_identical,2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.175593,0.038504,0.972534,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.03,directed_chain,strong_heterogeneity,2,0.0,0.0,0.0,0.0,0.0,0.50536,1.3333,0.5,0.147451,0.142995,0.970946,extra_flashes_or_harmonic_locking
pco_simple,simple,all_to_all,near_identical,2,0.0,0.0,1.0,0.0,0.0,0.914037,1.4737,0.9,0.042419,0.049602,0.979876,partial_phase_lock_with_extra_flashes
pco_simple,simple,all_to_all,strong_heterogeneity,2,0.0,0.0,1.0,0.0,0.0,1.494074,2.0,1.5,0.055714,0.087055,0.975757,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain,near_identical,2,0.0,0.0,1.0,0.0,0.0,0.4991,1.2632,0.5,0.045161,0.043296,0.98288,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain,strong_heterogeneity,2,0.0,0.0,1.0,0.0,0.0,1.491002,2.0,1.5,0.075536,0.094588,0.97214,partial_phase_lock_with_extra_flashes
pco_simple,simple,directed_chain,near_identical,2,0.0,0.0,1.0,0.0,0.0,0.4991,1.2632,0.5,0.045161,0.043296,0.98288,partial_phase_lock_with_extra_flashes
pco_simple,simple,directed_chain,strong_heterogeneity,2,0.0,0.0,1.0,0.0,0.0,1.491002,2.0,1.5,0.075536,0.094588,0.97214,partial_phase_lock_with_extra_flashes
