accepted_flash_event,accepted_flash_event_count,adaptive_amplitude,adaptive_high,adaptive_low,agent_id,brightness_mean,brightness_used,detection_mode,detector_episode_latch_enabled,detector_reject_reason,duplicate_suppressed_count,elapsed_time_s,estimated_frequency_hz,event_type,frame_index,full_frame_mean,last_rising_edge_time_s,latch_off_threshold,latch_on_threshold,local_contrast,local_contrast_ratio,norm_off_threshold,norm_on_threshold,normalized_signal,periodicity_confidence,raw_brightness,rising_edge,rising_edge_count,roi,roi_id,roi_mean,roi_median_brightness,roi_top_percentile_brightness,signal_frequency_hz,signal_norm,signal_quality,source_agent_id,state,t_s,threshold_off,threshold_on,timestamp_s,top_percentile_brightness,use_adaptive
False,1,76.6,89.6,13.0,V1,15.0,15.0,local_contrast,False,,0,1.1347173869999096,0.0,,18,109.22,10014.010783205,0.35,0.65,15.0,0.1685,0.35,0.65,0.0261,0.0,15.0,False,1,"{'x': 378, 'y': 112, 'width': 262, 'height': 256}",1,87.07,88.0,103.0,0.0,0.0261,0.9457,V1,OFF,1.11542,120.0,180.0,10014.344320767,103.0,True
False,1,43.0,66.0,23.0,V0,66.0,66.0,local_contrast,False,,0,1.1680839979999291,0.0,,19,121.89,10014.177473698,0.35,0.65,66.0,0.4552,0.35,0.65,1.0,0.0,66.0,False,1,"{'x': 18, 'y': 107, 'width': 227, 'height': 226}",0,157.45,144.0,210.0,0.0,1.0,0.9773,V0,ON,1.148937,120.0,180.0,10014.377687378,210.0,True
True,2,76.4,89.4,13.0,V1,85.0,85.0,local_contrast,False,,0,1.1680839979999291,0.0,leader_rising_edge,19,121.89,10014.377687378,0.35,0.65,85.0,0.68,0.35,0.65,0.9424,0.0,85.0,True,2,"{'x': 378, 'y': 112, 'width': 262, 'height': 256}",1,141.06,124.0,209.0,0.0,0.9424,0.9432,V1,ON,1.148937,120.0,180.0,10014.377687378,209.0,True
False,1,43.0,66.0,23.0,V0,66.0,66.0,local_contrast,False,,0,1.201486774998557,0.0,,20,121.89,10014.177473698,0.35,0.65,66.0,0.4552,0.35,0.65,1.0,0.0,66.0,False,1,"{'x': 18, 'y': 107, 'width': 227, 'height': 226}",0,157.34,144.0,210.0,0.0,1.0,0.9773,V0,ON,1.182575,120.0,180.0,10014.411090155,210.0,True
False,2,76.2,89.2,13.0,V1,85.0,85.0,local_contrast,False,,0,1.201486774998557,0.0,,20,121.89,10014.377687378,0.35,0.65,85.0,0.68,0.35,0.65,0.9449,0.0,85.0,False,2,"{'x': 378, 'y': 112, 'width': 262, 'height': 256}",1,141.15,124.0,209.0,0.0,0.9449,0.9407,V1,ON,1.182575,120.0,180.0,10014.411090155,209.0,True
False,1,43.0,66.0,23.0,V0,66.0,66.0,local_contrast,False,,0,1.2348187919997144,0.0,,21,121.89,10014.177473698,0.35,0.65,66.0,0.4552,0.35,0.65,1.0,0.0,66.0,False,1,"{'x': 18, 'y': 107, 'width': 227, 'height': 226}",0,157.28,144.0,210.0,0.0,1.0,0.9773,V0,ON,1.216127,120.0,180.0,10014.444422172,210.0,True
False,2,76.0,89.0,13.0,V1,85.0,85.0,local_contrast,False,,0,1.2348187919997144,2.14,,21,121.89,10014.377687378,0.35,0.65,85.0,0.68,0.35,0.65,0.9474,0.1606,85.0,False,2,"{'x': 378, 'y': 112, 'width': 262, 'height': 256}",1,141.17,124.0,209.0,2.14,0.9474,0.9383,V1,ON,1.216127,120.0,180.0,10014.444422172,209.0,True
False,1,43.0,66.0,23.0,V0,24.0,24.0,local_contrast,False,,0,1.2681367899986071,2.141,,22,111.77,10014.177473698,0.35,0.65,24.0,0.1951,0.35,0.65,0.0233,0.1613,24.0,False,1,"{'x': 18, 'y': 107, 'width': 227, 'height': 226}",0,122.83,122.0,146.0,2.141,0.0233,0.9773,V0,OFF,1.249353,120.0,180.0,10014.47774017,146.0,True
False,2,75.8,88.9,13.1,V1,88.0,88.0,local_contrast,False,,0,1.2681367899986071,2.724,,22,111.77,10014.377687378,0.35,0.65,88.0,0.7333,0.35,0.65,0.9881,0.0743,88.0,False,2,"{'x': 378, 'y': 112, 'width': 262, 'height': 256}",1,136.97,119.0,207.0,2.724,0.9881,0.9358,V1,ON,1.249353,120.0,180.0,10014.47774017,207.0,True
False,1,43.0,66.0,23.0,V0,23.0,23.0,local_contrast,False,,0,1.3347140639998543,2.14,,23,102.8,10014.177473698,0.35,0.65,23.0,0.2347,0.35,0.65,0.0,0.2408,23.0,False,1,"{'x': 18, 'y': 107, 'width': 227, 'height': 226}",0,98.63,97.0,120.0,2.14,0.0,0.9773,V0,OFF,1.304725,120.0,180.0,10014.544317444,120.0,True
